Fecha;Sigla Empresa;Nombre;Origen;Nombre;Ciudad Origen;Departamento Origen;Pais Origen;Continente Origen;Destino;Nombre;Ciudad Destino;Departamento Destino;Pais Destino;Continente Destino;Tipo de Equipo;Tipo Vuelo;Tr fico;N£mero de Vuelos;Horas Bloque;Sillas Ofrecidas;Pasajeros A Bordo;Pasajeros Tr nsito;Carga Ofrecida (Kg.);Carga + Correo A Bordo (Kg.);Carga Tr nsito (Kg.)
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;PZA;PAZ DE ARIPORO;PAZ DE ARIPORO;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;0,33;0;4;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;RAV;CRAVO NORTE;CRAVO NORTE;ARAUCA;COLOMBIA;SURAMERICA;C206;T;N;1;1,17;0;1;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;EYP;AERO APOYO;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;C206;T;N;1;0,75;0;5;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;PZA;AERO APOYO;PAZ DE ARIPORO;CASANARE;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;0,33;0;4;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;RAV;AERO APOYO;CRAVO NORTE;ARAUCA;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;1,08;0;2;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;SRO;AERO APOYO;SANTA ROSALIA;VICHADA;COLOMBIA;SURAMERICA;9DE;LUNA PARK;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;C206;T;N;1;0,17;0;0;0;0;0;0
01-ene-22 00:00:00;1AE;AERO APOYO;VVC;AERO APOYO;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;EYP;EL YOPAL;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;C206;T;N;1;1;0;5;0;0;0;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;9DI;ALLAS S.A.S;SAN FELIPE;GUAINIA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;DC3;T;N;2;1,5;0;22;0;0;1.200;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;BMG;ALLAS S.A.S;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;IDA;CESAR GAVIRIA TRUJILLO;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;DC3;T;N;2;1,5;0;14;0;0;1.675;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;BMG;ALLAS S.A.S;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;DC3;T;N;4;5,59;0;33;0;0;5.700;0
